name,WKT
Starbucks,POINT (-95.81059 29.5313)
Starbucks,POINT (-116.29818 33.71522)
Starbucks,POINT (-120.55102 46.99114)
Starbucks,POINT (-83.60393 39.61824)
Starbucks,POINT (-74.42833 40.15563)
Starbucks,POINT (-76.31621 39.46386)
Starbucks,POINT (-120.61354 37.36201)
Starbucks,POINT (-149.86076 61.10903)
Starbucks,POINT (-119.40036 36.54565)
Starbucks,POINT (-104.71517 39.6046)
Starbucks,POINT (-88.26478 41.9205)
Starbucks,POINT (-76.31312 40.06868)
Starbucks,POINT (-81.433 40.87887)
Starbucks,POINT (-118.14884 34.58634)
Starbucks,POINT (-117.32104 33.9756)
Starbucks,POINT (-122.71751 45.41285)
Starbucks,POINT (-122.32732 37.93249)
Starbucks,POINT (-120.70271 35.5262)
Starbucks,POINT (-115.78638 40.8343)
Starbucks,POINT (-94.38158 38.85054)
Starbucks,POINT (-74.6456 40.49806)
Starbucks,POINT (-81.03461 34.0042)
Starbucks,POINT (-94.90027 39.27118)
Starbucks,POINT (-97.32436 27.71314)
Starbucks,POINT (-149.74249 61.22871)
Starbucks,POINT (-99.17057 19.3778)
Starbucks,POINT (-122.43982 37.78598)
Starbucks,POINT (-96.62913 28.63302)
Starbucks,POINT (-121.55453 38.59121)
Starbucks,POINT (-94.62831 38.95783)
Starbucks,POINT (-84.16836 33.9209)
Starbucks,POINT (-77.0504 38.81118)
Starbucks,POINT (-121.40793 38.59653)
Starbucks,POINT (-122.7465 45.40846)
Starbucks,POINT (-92.53945 45.10118)
Starbucks,POINT (-81.82775 30.10427)
Starbucks,POINT (-122.31739 47.31399)
Starbucks,POINT (-81.63946 34.72536)
Starbucks,POINT (-77.06445 39.15286)
Starbucks,POINT (-83.0594 42.29067)
Starbucks,POINT (-103.42248 20.62982)
Starbucks,POINT (-85.60848 42.92996)
Starbucks,POINT (-81.31399 35.71567)
Starbucks,POINT (-88.99203 40.51152)
Starbucks,POINT (-95.49829 29.71663)
Starbucks,POINT (-99.21042 19.65729)
Starbucks,POINT (-111.83668 40.77172)
Starbucks,POINT (-106.82449 40.46596)
Starbucks,POINT (-90.35313 38.78564)
Starbucks,POINT (-74.00223 40.75435)
Starbucks,POINT (-85.62006 42.8459)
Starbucks,POINT (-95.27792 32.30878)
Starbucks,POINT (-108.60192 39.09362)
Starbucks,POINT (-118.46607 34.4061)
Starbucks,POINT (-118.50188 34.25055)
Starbucks,POINT (-118.11073 33.96109)
Starbucks,POINT (-117.10404 32.83036)
Starbucks,POINT (-121.95422 38.36632)
Starbucks,POINT (-77.60914 38.79568)
Starbucks,POINT (-122.631 45.41647)
Starbucks,POINT (-90.8154 29.81157)
Starbucks,POINT (-77.18833 38.89449)
Starbucks,POINT (-122.47689 37.72651)
Starbucks,POINT (-121.29675 38.25268)
Starbucks,POINT (-83.03488 40.02994)
Starbucks,POINT (-122.85603 42.31431)
Starbucks,POINT (-86.9308 33.3302)
Starbucks,POINT (-84.29132 30.44499)
Starbucks,POINT (-87.62289 41.89323)
Starbucks,POINT (-85.9649 41.68897)
Starbucks,POINT (-96.94524 32.86655)
Starbucks,POINT (-75.47814 45.48968)
Starbucks,POINT (-85.20283 41.07528)
Starbucks,POINT (-77.16487 39.36528)
Starbucks,POINT (-111.9093 33.48566)
Starbucks,POINT (-118.18518 33.98821)
Starbucks,POINT (-118.89917 34.26778)
Starbucks,POINT (-80.43009 37.81332)
Starbucks,POINT (-121.97981 37.2313)
Starbucks,POINT (-85.58819 42.91621)
